id,judul,tanggal,format,platform,status,catatan,tanggal_asal,drive_folder_url
33a7bda2-3d23-47a4-81bd-bdb754ede81d,Bijak Konsumsi Pangan Kurangi Food Waste,2026-05-31,Story/Poster,"Instagram, Facebook",Posted,"Agenda 4 - Ekonomi Sirkular | 6 slide Story IG

SLIDE 1 - HOOK
Prompt: Flat illustration, overhead view of a kitchen trash bin overflowing with fresh vegetables, fruit, and packaged food. Warm yellow-orange background. Style: modern Indonesian editorial illustration, clean lines, slightly melancholic mood. 9:16 vertical format.
Copy: Headline: Beli banyak, mubazir banyak. | Subtext: Setiap hari, lebih banyak makanan terbuang dari yang kita sadari. | Bottom tag: Kamu bagian dari solusi?

SLIDE 2 - FAKTA LOKAL
Prompt: Flat illustration, Papuan coastal market scene. A Papuan woman vendor selling fresh fish, tropical vegetables, and papaya on a wooden table. Some produce visibly wilting on the side. Warm teal and green palette. 9:16 vertical format.
Copy: Headline: Di Papua, pangan segar mudah didapat. | Subtext: Tapi juga mudah rusak kalau salah simpan. | Warning tag: Makanan rusak = tidak aman + terbuang sia-sia.

SLIDE 3 - TIPS PRAKTIS
Prompt: Flat illustration, triptych layout 3 stacked panels: top panel shows a shopping basket with only essential items; middle panel shows hands wrapping vegetables and placing fish in freezer container; bottom panel shows food containers arranged by date FIFO. Clean white background, green and blue accents. 9:16 vertical format.
Copy: Panel 1: Beli sesuai kebutuhan | Panel 2: Simpan dengan benar - freezer dalam 2 jam | Panel 3: FIFO - yang duluan masuk, duluan dipakai

SLIDE 4 - KEAMANAN PANGAN
Prompt: Flat illustration, split composition: left side shows properly stored food in sealed containers bright and fresh; right side shows improperly stored food with visible bacteria icons floating around it muted warning red. Subtle dividing line. Clean minimal background. 9:16 vertical format.
Copy: Headline: Salah simpan bukan cuma bikin mubazir. | Left label: Aman dan segar | Right label: Bakteri berkembang | Bottom: Bijak konsumsi = hemat + tetap aman.

SLIDE 5 - CTA UTAMA
Prompt: Flat illustration, Papuan family of three mother father young child sitting around a dinner table with modest but complete meal, smiling. Simple Papuan home interior, natural wood elements. Warm green and cream palette. Hopeful mood. 9:16 vertical format.
Copy: Main text: Mulai dari dapur kita, mulai dari Papua. | Tagline: Konsumsi cerdas. Pangan aman. Lingkungan terjaga. | Bottom: BPOM Mobile - Cek izin edar sebelum beli | #BijakKonsumsi #PanganAman #BBPOMJayapura

SLIDE 6 - SURVEY CTA
Prompt: Flat illustration, Papuan young woman sitting casually holding a smartphone, smiling and tapping the screen. Speech bubble with star rating symbol floating nearby. Small cenderawasih bird silhouette in top corner. Warm cream and green background consistent with previous slides. Space at bottom for QR code. 9:16 vertical format.
Copy: Headline: Konten ini bermanfaat buat kamu? | Subtext: Bantu kami bikin edukasi yang makin relevan untuk masyarakat Papua. | CTA: Isi survei - 2 menit aja | Bottom: QR code placeholder + atau tap link di bio",,
ab4ecd24-a1d7-4bca-9b00-e57b4225ed89,Lindungi Diri dari Bahaya Rokok,2026-05-31,Single Post,"Instagram, Facebook",Posted,Hari Anti Tembakau Internasional,,
089a24e1-6f5b-469e-ae14-66bcb87efba0,Pancasila dan Pangan Aman untuk Semua,2026-06-01,Single Post,"Instagram, Facebook",Posted,"K-JPR-2026-06-001 — Hari Lahir Pancasila; angle nilai Pancasila dan pangan aman.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1YRU1Cl46tmx9oo6QRLeBqW6QSnDIKDSC/view?usp=drivesdk",,https://drive.google.com/drive/folders/1PfaJUhdkZpkM9eCFo3Akej4AIllJbvnR
4294612b-46f1-470c-adbe-859bf25834f3,Bukan Pangan Kalau Tidak Aman,2026-06-02,Story/Poster,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-002 — teaser tema Juni: pangan harus aman sebelum layak dikonsumsi.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1ltGlY3t5_EVfXe1U4eoC2dPVnESCfWYk/view?usp=drivesdk",,
87c53d31-889d-497b-85e0-b5b295190430,Cek KLIK 4 Langkah Sebelum Belanja,2026-06-03,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-003 — edukasi Cek Kemasan, Label, Izin Edar, Kedaluwarsa.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1sHx28MbPRxC2GTGizMj5GfvdnBsuvTSo/view?usp=drivesdk",,
183834bd-c420-4be2-9650-152b26487e00,Tebak Produk Aman,2026-06-04,Story/Poster,Instagram,Naskah selesai,"K-JPR-2026-06-004 — kuis interaktif tebak produk aman.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1XlFskM52dXHL2s10_PElYZGAIXkFuzK5/view?usp=drivesdk",,
7b6de7e2-ffd5-4157-beaa-a1fce01e31fd,"Belanja Pangan Secukupnya, Aman dan Tidak Mubazir",2026-06-05,Single Post,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-005 — bijak konsumsi, simpan pangan dengan benar.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1DlQNdEDySOKBe5G_o794I2sVWqqtINud/view?usp=drivesdk",,
52ba327b-231f-457c-9be9-f71a6207c7e0,Hari Keamanan Pangan Sedunia 2026,2026-06-06,Story/Poster,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-006 — momentum Hari Keamanan Pangan Sedunia 2026.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1wahYxClPUxCmEfpXeybycwcD5i3kCdgs/view?usp=drivesdk",,
e3095a4a-ec32-42e9-8ecc-9143aa6efc6f,5 Pesan Penting Hari Keamanan Pangan,2026-06-07,Carousel,"Instagram, Facebook",Naskah selesai,"JN26-07 / K-JPR-2026-06-007 — fokus: 5 pesan praktis pangan aman untuk keluarga Papua. Draft narasi siap dikembangkan.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1DdpDah-AuIQRUZ46pFf2qIlQoCtK7_s-/view?usp=drivesdk",,
9fe0dd57-56c2-4e35-9023-d162bfb7c88c,UMKM Naik Kelas dengan Pangan Aman,2026-06-08,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-008 — pangan aman sebagai nilai tambah UMKM lokal.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1Vih7cIqhAHRoEkj4m_oPki7R_90VR_nn/view?usp=drivesdk",,
f5588ddf-6018-4c9c-bf90-70e723328c5c,Cara Cek Produk di BPOM Mobile,2026-06-09,Video,"Instagram, TikTok, Facebook",Naskah selesai,"K-JPR-2026-06-009 — tutorial singkat cek izin edar via BPOM Mobile.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1ZPkGkYbWlETTzFWvXNFxCQ4a02JTazzh/view?usp=drivesdk",,
27ef70b0-d0a3-4b10-952c-a011f4403aa3,Pangan Aman Anak Sehat Cegah Stunting,2026-06-10,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-010 — kaitkan pangan aman, gizi, dan pencegahan stunting.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1tWIM0ha5FHHTCkt84pz48h5qpRVwQvPU/view?usp=drivesdk",,
081c7c6e-755e-4a46-a0bb-6edd8cb35e34,Waspada Penyalahgunaan Obat-Obat Tertentu,2026-06-11,Story/Poster,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-011 — edukasi OOT dan kewaspadaan keluarga.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1PTTa2-BdZBBST7yeUWnUhFFEu6sbjXhm/view?usp=drivesdk",,
a3db9bd7-0ccb-4b5e-bc5e-89a15111d034,Jumat Tanya BPOM: Label Pangan,2026-06-12,Story/Poster,Instagram,Naskah selesai,"K-JPR-2026-06-012 — format Q&A tentang label pangan.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1Z1aQK8LNnlUywDNvRESb38FIZouFPTDJ/view?usp=drivesdk",,
842593fd-aea5-4207-b2bb-0c236e789e3a,"Jamu Aman, Tradisi Sehat",2026-06-13,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-013 — jamu sebagai tradisi sehat yang tetap perlu aman.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1zWdRwqrAZ2BADIRL60GOOHLBCWuE_hFt/view?usp=drivesdk",,
0e44df43-f5d3-4f82-aaf7-0bc019041383,3 Ciri Jamu yang Perlu Diwaspadai,2026-06-14,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-014 — edukasi ciri jamu yang berisiko.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1C9HdMdOoG9kxHm02fokusMQdFYBhugNq/view?usp=drivesdk",,
9f88e7d1-475f-4143-8b72-cb859d96c819,Selamat Tahun Baru Islam 1448 H,2026-06-16,Single Post,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-015 — greeting Tahun Baru Islam.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1bU5nEQKYA7QHHRv5VJ4468JipBooGeDJ/view?usp=drivesdk",,
637ffdb1-8b5d-4d69-9f25-995ad1b4cfea,Bagaimana BPOM Mengawasi Pangan Olahan,2026-06-18,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-016 — edukasi peran pengawasan BPOM.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1zyQsuzSPX0rjcHStWOYvS8ScZkWCwsIK/view?usp=drivesdk",,
9207ef71-c65a-4592-b6af-ff329eeceade,"Layanan Publik Bersih, Pangan Lebih Terpercaya",2026-06-19,Single Post,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-017 — layanan publik dan kepercayaan masyarakat.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/14uaN03SHgadJl6YYv8yKG1e_WM2Hzsxb/view?usp=drivesdk",,
3df7e933-c543-43ef-ad02-6508c5a3d3a3,Belanja di Toko: Apa yang Harus Dicek?,2026-06-22,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-018 — checklist saat belanja di toko/ritel.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1e75I-g9SVfqrgvKbBSMs51FBxyyBaII4/view?usp=drivesdk",,
897e1a08-eee2-471f-be34-dfb63417cb78,Pelaku Usaha: Ini Langkah Awal Urus Izin Edar,2026-06-26,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-019 — edukasi awal untuk pelaku usaha.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1JJpmhReY_EekXqZsMnQz7gImzaDqh7sK/view?usp=drivesdk",,
eba50bfd-55a5-4f1b-ad79-ba8af074f60c,Juni Aman: Apa yang Sudah Kita Pelajari,2026-06-29,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-06-020 — rangkuman pembelajaran tema Juni pangan aman.

Naskah (update skill narasi): selesai diperbarui 3 variasi dengan standar audience→belief→behavior-change→message. File Drive: https://drive.google.com/file/d/1ZW35FxEYYls_XANgwfMWnMhbCVpS_MYA/view?usp=drivesdk",,
c821f757-1aac-4360-aad6-5a5351288142,"Anak Papua Terlindungi, Indonesia Emas Menanti (Pembuka Tema Juli)",2026-07-09,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-07-001 — Pembuka tema bulanan Juli: Anak Terlindungi, Indonesia Emas Menanti.

Sumber: Agenda Setting BPOM Juli 2026 (REV) — deskripsi singkat.

Struktur slide:
- Slide 1: Hook — Anak Papua hari ini, generasi emas 2045. Visual anak-anak Papua ceria.
- Slide 2: Kenapa penting — anak harus terlindungi dari pangan dan obat yang tidak aman.
- Slide 3: Peran orang tua sebagai pengawas utama konsumsi harian anak.
- Slide 4: Peran sekolah sebagai mitra edukasi kebiasaan baik.
- Slide 5: Ajakan — pemerintah, pelaku usaha, masyarakat, orang tua, sekolah bergerak bersama. CTA follow + simpan.

Angle lokal: keluarga Papua, suasana rumah/halaman sekolah Jayapura.
Hindari klaim statistik. Tone edukatif-ramah semi formal.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1hMMfvyt7RiFvKiZ1xJfpIwCnDCiKhD2Y/view?usp=drivesdk",,https://drive.google.com/drive/folders/1CcAHI9qFemPvIjFlNFZ6wivxZ4vQ75Q7
b5091c7d-fbf4-4757-a686-9767a7df54c0,"SIGAP OM: Kenali Risiko, Jadi Agen Edukasi",2026-07-11,Reels/TikTok,"Instagram, TikTok",Naskah selesai,"K-JPR-2026-07-002 — Layanan Sentra Informasi Gerakan Antisipasi Penyalahgunaan Obat dan Makanan (SIGAP OM).

Sumber: Agenda Prioritas Juli #1.

Struktur video (30-45 detik):
- Hook: Penyalahgunaan obat dan makanan bisa terjadi di sekitar kita.
- Isi: kenali risikonya, cegah di lingkungan masing-masing, manfaatkan SIGAP OM sebagai sumber edukasi.
- Framing: tanggung jawab bersama — setiap orang bisa jadi agen edukasi.
- CTA: hubungi/kunjungi kanal BBPOM Jayapura untuk informasi.

Angle lokal: setting lingkungan kampung/kompleks di Jayapura, tokoh kakak muda Papua sebagai narator.
Tone edukatif-ramah. Hindari visual yang menormalisasi penyalahgunaan.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1F483a6WQC52JbiMMWU1dguhilDKrtMEh/view?usp=drivesdk",,https://drive.google.com/drive/folders/1KLnfBs5y8CMR_JK2tQNM3MrwTQLcRZMh
3644bee8-7e64-419d-a26f-1575fe74d025,Jajanan Anak Sekolah Aman: Panduan Orang Tua dan Guru,2026-07-14,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-07-003 — Edukasi jajanan anak sekolah aman.

Sumber: tema Juli + pesan kunci 1-2 (keamanan obat dan makanan bagi anak; produksi dan peredaran sesuai standar).

Struktur slide:
- Slide 1: Hook — Jajan boleh, asal aman!
- Slide 2: Ciri jajanan yang perlu diwaspadai (warna terlalu mencolok, tidak ada kemasan/label, kebersihan penjual).
- Slide 3: Tips memilih jajanan aman di kantin dan sekitar sekolah.
- Slide 4: Peran guru dan kantin sekolah membangun kebiasaan baik.
- Slide 5: CTA — orang tua dan sekolah kompak awasi jajanan anak.

Angle lokal: suasana kantin sekolah dan penjual jajanan di Jayapura.
Hindari menyebut merek atau menuduh produk tertentu. Kualitatif, tanpa statistik.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1PUWqk17oiz4VoHIQeIfRZUFmZacNACk1/view?usp=drivesdk",,https://drive.google.com/drive/folders/1uI3UaZHluA9qgu8GZRSXQ-WxO_Z27zDQ
5bc4921f-69dd-46dd-9cce-3658e2f9262f,SAPA UMK: Pendampingan Pangan Aman untuk UMK Papua,2026-07-16,Single Post,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-07-004 — Perluasan Program Sadar Pangan Aman bagi UMK Pangan Olahan (SAPA UMK).

Sumber: Agenda Prioritas Juli #2.

Konten single post + story pendukung:
- Pesan utama: BPOM memperluas pendampingan UMK pangan olahan lewat sinergi akademisi, pelaku usaha, pemerintah (ABG) dan digitalisasi.
- Ajakan: UMK pangan olahan di Papua ikut program pendampingan pemenuhan standar keamanan dan mutu.
- CTA: hubungi BBPOM Jayapura untuk informasi pendampingan.

Angle lokal: produk UMK Papua (keripik keladi, sambal, abon ikan, sagu olahan), suasana pasar/dapur produksi.
Hindari angka target nasional dalam caption (cukup framing kualitatif: pendampingan masif dan terarah).

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1MqpfL_X_tdT7A07TQ5zjWAQM2l0166_U/view?usp=drivesdk",,https://drive.google.com/drive/folders/18q0S9fvfcSKlynhAL1FkxE8A0SHQJ1RD
ca77ac7f-20ba-4ba1-be92-d3978773398a,Cek KLIK Bareng Anak: Ajari Sejak Dini,2026-07-18,Reels/TikTok,"Instagram, TikTok",Naskah selesai,"K-JPR-2026-07-005 — Cek KLIK versi keluarga: orang tua mengajari anak.

Sumber: pesan kunci 4 (Cek KLIK + BPOM Mobile + lapor kanal resmi).

Struktur video (30-45 detik):
- Hook: Anak minta jajan? Ajak cek dulu sama-sama!
- Isi: K-Kemasan utuh, L-Label jelas, I-Izin edar ada, K-Kedaluwarsa belum lewat. Diperagakan orang tua dan anak di kios/toko.
- CTA: jadikan Cek KLIK kebiasaan keluarga.

Angle lokal: kios atau swalayan di Jayapura, keluarga Papua.
Tone ceria, kids-friendly.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1kiChNbuoi_SD1R-JDRHxA9kQ63zt-zk4/view?usp=drivesdk",,https://drive.google.com/drive/folders/1fSrvWpxxs-bG7p5ViEI0w8x_mnlJKDcV
49191381-c534-46e9-a5ca-fcbb0eb4ac4f,"Hari Anak Nasional 2026: Anak Terlindungi, Indonesia Emas Menanti",2026-07-23,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-07-007 — KONTEN UTAMA BULAN INI. Hari Anak Nasional 23 Juli.

Sumber: hari besar 23 Juli + tema bulanan.

Struktur slide:
- Slide 1: Ucapan Selamat Hari Anak Nasional 2026 dari BBPOM Jayapura — visual anak-anak Papua.
- Slide 2: Makna tema: anak terlindungi dari pangan dan obat tidak aman.
- Slide 3: Komitmen BPOM: obat dan makanan diproduksi dan diedarkan sesuai standar.
- Slide 4: Peran bersama: orang tua, sekolah, pelaku usaha, masyarakat.
- Slide 5: CTA — Cek KLIK sebelum beli untuk si kecil (integrasi #CekKLIK sesuai pola konten ucapan hari besar).

Visual: karakter anak-anak Papua, elemen cenderawasih, warna institusi (navy, gold, hijau BPOM) dipadu palet ceria.
Prioritas produksi tertinggi. Posting pagi WIT.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1tiV1BfjZI6Jc10S4t7MP28ycRWoidx8r/view?usp=drivesdk",,https://drive.google.com/drive/folders/1LSxFv-1g6johMdMEGwPmtIxIcD8guivt
bdfeea0c-9bd3-42be-b7a4-5a3e10891a4c,Hari Anak Nasional 2026 (Reels): Suara Anak Papua,2026-07-23,Reels/TikTok,"Instagram, TikTok, Facebook",Naskah selesai,"K-JPR-2026-07-008 — Aset kedua Hari Anak Nasional, format video.

Sumber: hari besar 23 Juli + tema bulanan.

Konsep video (30-45 detik):
- Montase anak-anak Papua: bermain, belajar, makan bekal sehat.
- Voice over/teks: harapan untuk generasi emas 2045 — tumbuh sehat dengan pangan dan obat yang aman.
- Closing: logo BBPOM Jayapura + Selamat Hari Anak Nasional 2026.

Opsi produksi: footage kegiatan KIE anak sekolah yang sudah ada di arsip, atau AI generated + stok internal.
Posting siang WIT (jeda dari carousel pagi).

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1tePD3v-HJJ54e_RzXgO9ZsR5fTqCSf1d/view?usp=drivesdk",,https://drive.google.com/drive/folders/1QCAgHQNA_9v8rYAQnRFCilMPaGGpagzk
abce176a-21e1-4c0e-836c-3bcca715d3bf,BPOM Mobile: Cek Izin Edar Sebelum Beli untuk Anak,2026-07-25,Reels/TikTok,"Instagram, TikTok",Naskah selesai,"K-JPR-2026-07-009 — Kampanye BPOM Mobile untuk cek izin edar.

Sumber: Agenda Prioritas Juli #5.

Struktur video tutorial (45-60 detik):
- Hook: Mau beli vitamin atau jajanan buat anak? Cek dulu, beli kemudian.
- Isi: langkah pakai BPOM Mobile — buka aplikasi, scan/ketik nama produk, lihat status izin edar.
- Framing: pengecekan hanya hitungan detik, terhindar dari produk ilegal.
- CTA: unduh BPOM Mobile sekarang.

Screen recording aplikasi + presenter. Produk contoh gunakan produk terdaftar generik tanpa sorot merek.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1q54sG9gOZK_fFOQ76v8RNvBfu06Oe8-q/view?usp=drivesdk",,https://drive.google.com/drive/folders/18ai2LR_OtHBauW0Qi6BY-b3UNZaYD9nL
31e26532-dc66-4477-b7b5-8c1a5e6558dc,Bijak Konsumsi Pangan: Kurangi Food Waste dari Rumah,2026-07-28,Infografis,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-07-010 — Edukasi publik bijak konsumsi pangan, dukung ekonomi sirkular.

Sumber: Agenda Prioritas Juli #3.

Konten infografis:
- Judul: Bijak Konsumsi Pangan Dimulai dari Rumah.
- Poin: belanja sesuai kebutuhan, simpan pangan dengan benar, perhatikan tanggal kedaluwarsa, habiskan porsi, olah sisa bahan dengan aman.
- Framing: praktik sehari-hari yang menurunkan food loss and waste.
- CTA: mulai dari dapur keluarga.

Angle lokal: bahan pangan pasar lokal Jayapura.
Tanpa angka statistik food waste nasional.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1U-sL-bj5eEXF_oJOXDbD7M-k-PzyyZK5/view?usp=drivesdk",,https://drive.google.com/drive/folders/1s6JSLfTT7PT1RZTCu0_xa_5Ayb0P-Mvc
8feaf8ca-99aa-4cce-8e36-8f8d93572525,Integritas Melayani: Kampanye Antikorupsi dan Penutup Juli,2026-07-30,Single Post,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-07-011 — Kampanye antikorupsi + refleksi penutup tema Juli.

Sumber: Agenda Prioritas Juli #6.

Konten single post:
- Pesan: BBPOM Jayapura berkomitmen pada pelayanan yang bersih, transparan, dan akuntabel — integritas sebagai keseharian dalam bekerja dan melayani masyarakat.
- Sisipan penutup tema: terima kasih sudah bergerak bersama melindungi anak Papua sepanjang Juli.
- CTA: laporkan dugaan pelanggaran/gratifikasi lewat kanal resmi.

Visual: pegawai BBPOM Jayapura melayani masyarakat, elemen brand navy-gold-hijau.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1VOMTA5mFo8iFc40xxtB38yQK8b9Zgg4x/view?usp=drivesdk",,https://drive.google.com/drive/folders/1GqrkFPXHoZYDxIA8vvXWp2WCyAhJZLmj
4281c4cd-580b-42ce-93cf-4f2ae1ed2a00,Gizi Seimbang Pangan Lokal: Cegah Stunting Sejak Dini,2026-07-30,Carousel,"Instagram, Facebook",Naskah selesai,"K-JPR-2026-07-006 — Edukasi penanganan stunting dengan pangan lokal Papua.

Sumber: Agenda Prioritas Juli #4 + pesan kunci 3.

Struktur slide:
- Slide 1: Hook — Generasi emas dimulai dari piring keluarga.
- Slide 2: Sasaran utama: ibu hamil, ibu menyusui, ibu balita, remaja putri (calon ibu).
- Slide 3: Pangan lokal Papua bergizi: ikan, sagu, sayuran lokal, buah lokal — pilih yang aman dan bermutu.
- Slide 4: Prinsip: pangan aman + gizi seimbang untuk cegah stunting.
- Slide 5: CTA + pengantar story survei KIE.

Story pendukung: versi ringkas + slide survei CTA (link survei efektivitas KIE).
Hindari statistik prevalensi stunting. Fokus perilaku positif.

Naskah: draft 3 variasi tersimpan di Drive. File: https://drive.google.com/file/d/1WRnB3dEqSforu97V3T3Yzl4VMjDTtibL/view?usp=drivesdk",,https://drive.google.com/drive/folders/1JRcKzVht0CeBWJE2vFfRpCxmTicib99w
01216640-f240-40b4-87a2-6b9c0a5a882f,Merdeka dengan Obat dan Makanan Tepercaya (Pembuka Tema Agustus),2026-08-03,Carousel,"Instagram, Facebook",Draft,"K-JPR-2026-08-001 — Pembuka tema bulanan Agustus: Merdeka dengan Obat dan Makanan Tepercaya.

Sumber: Agenda Setting BPOM Agustus 2026 (REV) — deskripsi singkat + pesan kunci 1.

Struktur slide:
- Slide 1: Hook — Merdeka bukan cuma soal bendera, tapi juga soal apa yang masuk ke tubuh kita.
- Slide 2: Makna tema — kemerdekaan juga berarti terlindungi saat mengakses obat dan makanan.
- Slide 3: Kepercayaan dibangun dari pengawasan kuat + kepatuhan pelaku usaha + partisipasi masyarakat.
- Slide 4: Peran warga: jadi konsumen cerdas lewat Cek KLIK dan produk legal.
- Slide 5: CTA — ikuti rangkaian konten Agustus BBPOM Jayapura, simpan dan bagikan.

Angle lokal: nuansa 17-an di Jayapura (umbul-umbul, warga kampung), warna merah-putih dipadu identitas BPOM.
Hindari klaim statistik. Tone semi formal, hangat.",,https://drive.google.com/drive/folders/13XHBtF3S8hHnPqdlC2BCjevudsE4HINP
